,weight,CONS_Total,vatax,table_row
4195,7.3679104,57354.605373869184,3925.1575978883484,4
3937,59.32726,57356.396162330995,2739.906346559166,4
5801,367.36108,57535.47500851132,2338.7697311152087,4
6335,70.28125,57663.38847006872,1282.2045386512173,4
3218,54.32797,57714.553854691665,1991.356769525354,4
6989,24.063637,57734.76418161772,3097.311907765884,4
4665,21.337622,57765.71923931461,590.9601923951141,4
4292,19.466852,57765.719239314625,2564.409077302435,4
7436,13.076054,58047.128854740855,4213.7252506233435,4
447,33.06623,58136.66827783101,805.8548078115193,4
3793,101.49925,58193.33394130096,831.6958853153421,4
6297,20.221272,58213.41635476546,6806.786943314633,4
712,112.26112,58238.99904707693,707.3614424123335,4
8233,24.37103,58251.79039323267,7209.714347220392,4
7797,45.756638,58379.703854790074,3338.029692801493,4
2775,42.055122,58597.1567394376,438.74317314182707,4
904,187.0715,58661.11347021631,4065.089808293663,4
4521,51.98695,58699.4875086835,44.76971154508441,4
1663,78.3623,58750.652893306455,2028.963327223225,4
2852,32.79845,58942.52308564253,1846.3029041192804,4
7930,19.531248,58942.523085642555,358.15769236067524,4
6308,9.74755,58993.68847026551,6416.395058641498,4
7844,36.54446,59045.62133565781,8266.386986992095,4
6137,328.41,59134.39327797864,2347.723673424226,4
4165,16.733898,59262.30673953601,6144.195212447383,4
4329,33.32862,59287.88943184748,1377.1163271267967,4
6336,70.28125,59300.68077800321,1683.3411540951731,4
3264,91.7781,59313.47212415896,4281.775212171873,4
4215,8.476808,59633.25577805244,4752.752577626161,4
5240,444.14014,59686.33986459875,8348.924427196613,4
929,409.7531,59710.003854986855,3115.9719235378743,4
845,146.05061,59735.58654729831,2775.722115795233,4
3571,94.13754,59735.58654729833,3542.179577447078,4
2959,24.99478,59889.082701167186,2399.656538816524,4
3261,91.7781,59965.83077810161,3198.3481927808307,4
6559,9.132086,60143.11883582016,5142.893751914645,4
2615,99.4285,60196.07500890493,393.9734615967427,4
3204,56.280556,60208.866355060665,2256.393461872254,4
3167,97.15881,60208.866355060665,1180.1295963284251,4
2162,16.414694,60336.77981661803,2541.128827298991,4
8002,30.57457,60451.90193201967,727.0601154921707,4
5919,560.28674,60579.81539357706,8409.542616628654,4
7680,14.959192,60618.189432044266,5603.377096982764,4
4486,15.671429,60630.98077820003,182.66042310394434,4
3425,46.302246,60682.146162822966,2127.4566926224106,4
8204,28.969337,60963.55577824921,1056.565192463992,5
450,25.910109,60963.555778249225,8481.17415510079,5
8234,24.37103,61065.88654749514,3341.611269725101,5
6946,24.063635,61168.21731674102,1479.1912694495886,5
1834,51.473965,61564.7490475689,1282.2045386512173,5
6389,22.49,61679.87116297055,497.8391923813386,5
6058,86.38418,61731.16446105509,2482.0507159440976,5
675,221.30803,61782.20193221646,1146.1046155541603,5
4548,16.802084,61935.698086085315,1364.5808078941725,5
